time,flow,diff,in
2022-07-05 16:40:00,3588.2815,1.6878749,1.7027501
2022-07-05 20:09:00,3601.4062,1.6904842,1.7185
2022-07-05 21:19:00,3588.9844,1.6904842,1.7185
2022-07-06 01:40:00,3596.4844,1.6869376000000003,1.76775
2022-07-06 02:44:00,3596.25,1.694156,1.75975
2022-07-06 06:59:00,3608.2031,1.7019216,1.7617501
2022-07-06 08:03:00,3604.453,1.6934375,1.755
2022-07-06 10:20:00,3603.0469,1.6908126,1.74825
2022-07-06 11:29:00,3618.0469,1.6912969999999998,1.7255
2022-07-06 14:41:00,3505.547,1.6875470000000001,1.8355
2022-07-06 16:57:00,3489.8435,1.7053125,1.83375
2022-07-06 19:08:00,3628.594,1.6946563,1.69675
2022-07-06 20:12:00,3620.3906,1.6902971,1.7014999
2022-07-06 21:18:00,3626.0159,1.6999999,1.6750001
2022-07-06 22:22:00,3631.6406,1.69825,1.683
2022-07-06 23:26:00,3612.6562,1.6856405999999997,1.6772499
2022-07-07 00:30:00,3616.6406,1.6872033000000002,1.6709999
2022-07-07 02:40:00,3610.3123,1.6922658000000002,1.68
2022-07-07 03:49:00,3599.297,1.6930627000000003,1.6834999
2022-07-07 07:17:00,3604.453,1.6972187,1.677
2022-07-08 19:38:00,4564.453,1.6366872999999997,2.46175
2022-07-08 22:49:00,4567.9688,1.6320157000000002,2.40275
2022-07-09 02:04:00,4577.578,1.6367030000000002,2.3465002
2022-07-09 03:09:00,4569.375,1.6357656999999999,2.3365
2022-07-09 06:20:00,4560.703,1.6672031,2.27225
2022-07-09 09:31:00,4563.5156,1.6582656,2.289
2022-07-09 10:35:00,4553.9062,1.6631874,2.2915
2022-07-09 14:09:00,4533.75,1.6758905,2.3057501
2022-07-09 18:24:00,4554.1406,1.6672029,2.3222501
2022-07-09 20:34:00,4542.1875,1.6539533,2.29175
2022-07-09 23:49:00,4551.797,1.6555469999999999,2.33625
2022-07-10 00:54:00,4564.453,1.6493438,2.34675
2022-07-10 03:04:00,4560.9375,1.6533750000000005,2.38725
2022-07-11 13:07:00,4586.953,1.6175308999999998,2.4207501
2022-07-11 16:40:00,4590.0,1.6209533,2.39975
2022-07-11 19:57:00,4578.9844,1.6209533,2.39975
2022-07-11 21:06:00,4590.0,1.6209533,2.39975
2022-07-13 18:56:00,4590.0,1.5509217,2.3565001
2022-07-13 20:04:00,4702.0312,1.6209533,2.39975
2022-07-13 21:08:00,4690.7812,1.6209533,2.39975
2022-07-14 00:21:00,4590.0,1.6495624000000002,2.13325
2022-07-14 20:05:00,4590.0,1.6613123,2.1590002
2022-07-18 09:17:00,4590.0,1.6209533,2.39975
2022-07-18 09:41:00,4531.172,1.6209533,2.39975
2022-07-18 12:52:00,4590.0,1.6209533,2.39975
2022-07-18 15:10:00,4590.0,1.6209533,2.39975
2022-07-18 16:14:00,4590.0,1.6209533,2.39975
2022-07-18 18:21:00,4590.0,1.6304060999999999,1.8797501
2022-07-18 21:32:00,4547.1094,1.6209533,2.39975
2022-07-18 23:39:00,4539.8438,1.6352969000000002,1.8377501
2022-07-19 02:50:00,4590.0,1.6209533,2.39975
