time,flow,diff,in
2022-08-25 16:11:00,3556.6406,1.69275,0.7985
2022-08-25 16:47:00,3555.9375,1.69275,0.7985
2022-08-25 17:23:00,3552.422,1.69325,0.7975
2022-08-25 17:59:00,3566.9531,1.6905000000000001,0.7995
2022-08-25 18:35:00,3565.0781,1.69175016,0.80050004
2022-08-25 21:35:00,3565.0781,1.6915,0.8075
2022-08-25 22:12:00,3577.0312,1.69199995,0.80775005
2022-08-25 22:48:00,3569.2966,1.6955002,0.80725
2022-08-26 01:12:00,3552.8906,1.6945000000000001,0.81325
2022-08-26 01:48:00,3550.0781,1.6905000000000001,0.816
2022-08-26 02:24:00,3562.7341,1.69474994,0.81575006
2022-08-26 03:00:00,3567.6562,1.69725,0.81475
2022-08-26 03:36:00,3561.3281,1.69375,0.818
2022-08-26 06:00:00,3545.625,1.69749995,0.81925005
2022-08-26 07:13:00,3550.7812,1.6990000000000003,0.81825
2022-08-26 07:49:00,3539.7656,1.69525,0.82325
2022-08-26 10:49:00,3554.2966,1.6919999999999997,0.773
2022-08-26 13:14:00,3569.5312,1.69225,0.7995
2022-08-26 14:26:00,3563.4373,1.6922500999999999,0.7845
2022-08-26 15:02:00,3564.6094,1.6922500999999999,0.7845
2022-08-26 15:39:00,3564.844,1.6900000000000002,0.77675
2022-08-26 16:15:00,3577.7341,1.69275,0.768
2022-08-26 17:27:00,3568.8281,1.6909999999999998,0.7565
2022-08-26 18:03:00,3560.8591,1.69425,0.748
2022-08-26 18:39:00,3551.25,1.6922499999999998,0.76075
2022-08-26 19:15:00,3579.844,1.6922499999999998,0.76075
2022-08-26 19:51:00,3567.422,1.6955,0.79175
2022-08-26 21:03:00,3559.2188,1.69225,0.8075
2022-08-26 21:39:00,3563.6719,1.6944999999999997,0.789
2022-08-26 22:15:00,3560.156,1.6880000000000002,0.78775
2022-08-27 00:03:00,3561.3281,1.69549996,0.76675004
2022-08-27 00:39:00,3561.3281,1.6945000000000001,0.76425
2022-08-27 01:15:00,3561.3281,1.6907501999999996,0.75775
2022-08-27 04:50:00,3535.547,1.693,0.74575
2022-08-27 05:26:00,3530.3906,1.6955,0.741
2022-08-27 06:02:00,3537.8906,1.6919999999999997,0.7345
2022-08-27 07:14:00,3524.5312,1.6949999999999998,0.72425
2022-08-27 07:50:00,3534.1404,1.69649997,0.71750003
2022-08-27 08:26:00,3540.4688,1.6922501999999997,0.7185
2022-08-27 09:02:00,3518.6719,1.6932500300000002,0.71999997
2022-08-27 09:38:00,3520.3125,1.6954999999999998,0.7095
2022-08-27 11:25:00,3517.5,1.6915,0.70125
2022-08-27 13:49:00,3504.375,1.6909999999999998,0.6905
2022-08-27 14:25:00,3513.5156,1.69399985,0.68600005
2022-08-27 16:13:00,3504.6094,1.6917499999999999,0.8365
2022-08-27 16:49:00,3491.0156,1.6892501000000002,0.8335
2022-08-27 17:25:00,3488.9062,1.69224996,0.83000004
2022-08-27 18:01:00,3510.2344,1.7199999999999998,0.8075
2022-08-27 18:37:00,3549.6094,1.7247499999999998,0.84375
2022-08-27 19:13:00,3511.1719,1.7300000399999997,0.86324996
2022-08-27 19:49:00,3507.4216,1.7227499999999998,0.86975
2022-08-27 21:37:00,3515.625,1.7237499,0.87675
2022-08-27 22:13:00,3497.5781,1.72324996,0.88100004
2022-08-27 22:49:00,3506.9531,1.72875,0.88025
2022-08-27 23:25:00,3506.9531,1.7265000000000001,0.88625
2022-08-28 00:37:00,3492.1875,1.7257500300000002,0.88774997
2022-08-28 01:13:00,3488.9062,1.728,0.89225
2022-08-28 01:49:00,3498.281,1.7217499699999999,0.89925003
2022-08-28 04:13:00,3470.8594,1.725,0.912
2022-08-28 04:49:00,3483.0469,1.7255000000000003,0.91375
2022-08-28 05:25:00,3483.0469,1.7252499000000001,0.93775
2022-08-28 07:49:00,3505.3125,1.7295,0.94825
2022-08-28 08:25:00,3483.75,1.72674997,0.95600003
2022-08-28 10:13:00,3468.9841,1.7275000400000002,0.97174996
